,단맛,신맛,바디감,청량감,cluster,pca_x,pca_y
164,2.0,1.0,3.0,1.0,3,-0.682811611318419,-1.4615128358964595
165,4.0,1.0,4.0,1.0,3,0.4324709591122966,-2.583990029132504
166,3.0,1.0,3.0,1.0,3,-0.10967359443276405,-1.9684975558096787
167,3.0,2.0,3.0,1.0,3,0.48623125868847883,-1.5440140146613277
168,0.0,0.0,4.0,0.0,1,-3.145955579752037,0.32674323746992645
169,0.0,0.0,3.0,0.0,1,-3.1149621164114425,0.435250990879532
170,0.0,0.0,4.0,0.0,1,-3.145955579752037,0.32674323746992645
171,0.0,0.0,3.0,0.0,1,-3.1149621164114425,0.435250990879532
172,2.0,0.0,3.0,0.0,3,-1.8364607996808813,-2.0336482768226785
173,2.0,0.0,3.0,3.0,3,-0.16322779395722353,-1.5906925774890768
174,0.0,0.0,5.0,0.0,1,-3.1769490430926313,0.21823548406032098
175,0.0,0.0,5.0,0.0,1,-3.1769490430926313,0.21823548406032098
176,0.0,0.0,3.0,0.0,1,-3.1149621164114425,0.435250990879532
177,0.0,0.0,2.0,0.0,1,-3.083968653070847,0.5437587442891374
178,0.0,0.0,3.0,0.0,1,-3.1149621164114425,0.435250990879532
179,0.0,0.0,3.0,0.0,1,-3.1149621164114425,0.435250990879532
180,1.0,3.0,2.0,3.0,0,0.8840042874225682,2.4806452610924605
181,0.0,0.0,4.0,0.0,1,-3.145955579752037,0.32674323746992645
182,0.0,0.0,4.0,0.0,1,-3.145955579752037,0.32674323746992645
183,0.0,0.0,3.0,0.0,1,-3.1149621164114425,0.435250990879532
184,0.0,0.0,2.0,0.0,1,-3.083968653070847,0.5437587442891374
185,0.0,0.0,4.0,0.0,1,-3.145955579752037,0.32674323746992645
186,3.0,3.0,2.0,3.0,2,2.162505604153129,0.011745993390249778
187,0.0,0.0,4.0,0.0,1,-3.145955579752037,0.32674323746992645
188,0.0,0.0,2.0,0.0,1,-3.083968653070847,0.5437587442891374
189,1.0,0.0,3.0,0.0,1,-2.5418240995257873,-0.0717337290336869
190,0.0,0.0,3.0,0.0,1,-3.1149621164114425,0.435250990879532
